Script started on 2018-06-27 21:51:37-0600
]0;thomas.newton@csa2:~/CPSC355/A6thomas.newton@csa2:~/CPSC355/A6$ ./a6 input.bin 
x(degree)	x(rad)		sin(x)		cos(x)
         0.00	 0.0000000000	 0.0000000000	 1.0000000000
         0.25	 0.0043633231	 0.0043633093	 0.9999904807
         0.50	 0.0087266463	 0.0087265355	 0.9999619231
         0.75	 0.0130899694	 0.0130895956	 0.9999143276
         1.00	 0.0174532925	 0.0174524064	 0.9998476952
         1.25	 0.0218166156	 0.0218148850	 0.9997620271
         1.50	 0.0261799388	 0.0261769483	 0.9996573250
         1.75	 0.0305432619	 0.0305385132	 0.9995335908
         2.00	 0.0349065850	 0.0348994967	 0.9993908270
         2.25	 0.0392699082	 0.0392598158	 0.9992290362
         2.50	 0.0436332313	 0.0436193874	 0.9990482216
         2.75	 0.0479965544	 0.0479781285	 0.9988483865
         3.00	 0.0523598776	 0.0523359562	 0.9986295348
         3.25	 0.0567232007	 0.0566927876	 0.9983916706
         3.50	 0.0610865238	 0.0610485395	 0.9981347984
         3.75	 0.0654498469	 0.0654031292	 0.9978589232
         4.00	 0.0698131701	 0.0697564737	 0.9975640503
         4.25	 0.0741764932	 0.0741084902	 0.9972501851
         4.50	 0.0785398163	 0.0784590957	 0.9969173337
         4.75	 0.0829031395	 0.0828082075	 0.9965655025
         5.00	 0.0872664626	 0.0871557427	 0.9961946981
         5.25	 0.0916297857	 0.0915016187	 0.9958049276
         5.50	 0.0959931089	 0.0958457525	 0.9953961984
         5.75	 0.1003564320	 0.1001880616	 0.9949685183
         6.00	 0.1047197551	 0.1045284633	 0.9945218954
         6.25	 0.1090830782	 0.1088668749	 0.9940563382
         6.50	 0.1134464014	 0.1132032138	 0.9935718557
         6.75	 0.1178097245	 0.1175373975	 0.9930684570
         7.00	 0.1221730476	 0.1218693434	 0.9925461516
         7.25	 0.1265363708	 0.1261989691	 0.9920049497
         7.50	 0.1308996939	 0.1305261922	 0.9914448614
         7.75	 0.1352630170	 0.1348509303	 0.9908658974
         8.00	 0.1396263402	 0.1391731010	 0.9902680687
         8.25	 0.1439896633	 0.1434926220	 0.9896513868
         8.50	 0.1483529864	 0.1478094111	 0.9890158634
         8.75	 0.1527163095	 0.1521233862	 0.9883615105
         9.00	 0.1570796327	 0.1564344650	 0.9876883406
         9.25	 0.1614429558	 0.1607425656	 0.9869963666
         9.50	 0.1658062789	 0.1650476059	 0.9862856015
         9.75	 0.1701696021	 0.1693495038	 0.9855560591
        10.00	 0.1745329252	 0.1736481777	 0.9848077530
        10.25	 0.1788962483	 0.1779435455	 0.9840406976
        10.50	 0.1832595715	 0.1822355255	 0.9832549076
        10.75	 0.1876228946	 0.1865240360	 0.9824503977
        11.00	 0.1919862177	 0.1908089954	 0.9816271834
        11.25	 0.1963495408	 0.1950903220	 0.9807852804
        11.50	 0.2007128640	 0.1993679344	 0.9799247046
        11.75	 0.2050761871	 0.2036417511	 0.9790454725
        12.00	 0.2094395102	 0.2079116908	 0.9781476007
        12.25	 0.2138028334	 0.2121776722	 0.9772311065
        12.50	 0.2181661565	 0.2164396139	 0.9762960071
        12.75	 0.2225294796	 0.2206974350	 0.9753423205
        13.00	 0.2268928028	 0.2249510543	 0.9743700648
        13.25	 0.2312561259	 0.2292003909	 0.9733792585
        13.50	 0.2356194490	 0.2334453639	 0.9723699204
        13.75	 0.2399827721	 0.2376858923	 0.9713420698
        14.00	 0.2443460953	 0.2419218956	 0.9702957263
        14.25	 0.2487094184	 0.2461532930	 0.9692309097
        14.50	 0.2530727415	 0.2503800041	 0.9681476404
        14.75	 0.2574360647	 0.2546019482	 0.9670459389
        15.00	 0.2617993878	 0.2588190451	 0.9659258263
        15.25	 0.2661627109	 0.2630312145	 0.9647873238
        15.50	 0.2705260341	 0.2672383761	 0.9636304532
        15.75	 0.2748893572	 0.2714404499	 0.9624552365
        16.00	 0.2792526803	 0.2756373558	 0.9612616959
        16.25	 0.2836160034	 0.2798290140	 0.9600498544
        16.50	 0.2879793266	 0.2840153447	 0.9588197349
        16.75	 0.2923426497	 0.2881962681	 0.9575713608
        17.00	 0.2967059728	 0.2923717047	 0.9563047560
        17.25	 0.3010692960	 0.2965415750	 0.9550199445
        17.50	 0.3054326191	 0.3007057995	 0.9537169507
        17.75	 0.3097959422	 0.3048642990	 0.9523957996
        18.00	 0.3141592654	 0.3090169944	 0.9510565163
        18.25	 0.3185225885	 0.3131638065	 0.9496991262
        18.50	 0.3228859116	 0.3173046564	 0.9483236552
        18.75	 0.3272492347	 0.3214394653	 0.9469301295
        19.00	 0.3316125579	 0.3255681545	 0.9455185756
        19.25	 0.3359758810	 0.3296906453	 0.9440890204
        19.50	 0.3403392041	 0.3338068592	 0.9426414911
        19.75	 0.3447025273	 0.3379167180	 0.9411760153
        20.00	 0.3490658504	 0.3420201433	 0.9396926208
        20.25	 0.3534291735	 0.3461170571	 0.9381913359
        20.50	 0.3577924967	 0.3502073813	 0.9366721892
        20.75	 0.3621558198	 0.3542910380	 0.9351352097
        21.00	 0.3665191429	 0.3583679495	 0.9335804265
        21.25	 0.3708824660	 0.3624380383	 0.9320078693
        21.50	 0.3752457892	 0.3665012267	 0.9304175680
        21.75	 0.3796091123	 0.3705574375	 0.9288095529
        22.00	 0.3839724354	 0.3746065934	 0.9271838546
        22.25	 0.3883357586	 0.3786486174	 0.9255405040
        22.50	 0.3926990817	 0.3826834324	 0.9238795325
        22.75	 0.3970624048	 0.3867109616	 0.9222009717
        23.00	 0.4014257280	 0.3907311285	 0.9205048535
